Time [s],Packet ID,MOSI,MISO
0.004128600000000,,0b  1000  0000,
0.004143600000000,,0b  1001  1100,
0.004158600000000,,0b  0000  0011,
0.004269200000000,,0b  0000  0001,
0.004284200000000,,0b  0011  0011,
0.004299300000000,,0b  0111  0100,
0.004368700000000,,0b  0000  0010,
0.004383800000000,,0b  0011  0011,
0.004398800000000,,0b  0111  0100,
0.104194300000000,,0b  1000  0000,
0.104209300000000,,0b  1001  1100,
0.104224300000000,,0b  0000  0011,
0.104334100000000,,0b  0000  0001,
0.104349200000000,,0b  0011  0101,
0.104364200000000,,0b  0111  0100,
0.104434800000000,,0b  0000  0010,
0.104449900000000,,0b  0011  0011,
0.104464900000000,,0b  0111  0100,
0.204263400000000,,0b  0000  0000,
0.204278300000000,,0b  1001  1101,
0.204293300000000,,0b  0000  0011,
0.204402800000000,,0b  0000  0001,
0.204417800000000,,0b  0011  0011,
0.204432800000000,,0b  0111  0100,
0.204502000000000,,0b  0000  0010,
0.204517000000000,,0b  0011  0011,
0.204532000000000,,0b  0111  0100,
0.304328100000000,,0b  0000  0000,
0.304343100000000,,0b  1001  1101,
0.304358100000000,,0b  0000  0011,
0.304468400000000,,0b  0000  0001,
0.304483400000000,,0b  0011  0101,
0.304498500000000,,0b  0111  0100,
0.304568700000000,,0b  0000  0010,
0.304583800000000,,0b  0011  0011,
0.304598800000000,,0b  0111  0100,
0.404397800000000,,0b  0000  0000,
0.404412800000000,,0b  1001  1101,
0.404427800000000,,0b  0000  0011,
0.404537400000000,,0b  0000  0001,
0.404552400000000,,0b  0011  0101,
0.404567400000000,,0b  0111  0100,
0.404638200000000,,0b  1000  0010,
0.404653200000000,,0b  0011  0100,
0.404668200000000,,0b  0111  0100,
0.504466200000000,,0b  0000  0000,
0.504481200000000,,0b  1001  1101,
0.504496200000000,,0b  0000  0011,
0.504606300000000,,0b  0000  0001,
0.504621400000000,,0b  0011  0101,
0.504636400000000,,0b  0111  0100,
0.504706600000000,,0b  0000  0010,
0.504721600000000,,0b  0011  0011,
0.504736700000000,,0b  0111  0100,
0.604532900000000,,0b  0000  0000,
0.604547900000000,,0b  1001  1101,
0.604562900000000,,0b  0000  0011,
0.604673600000000,,0b  0000  0001,
0.604688700000000,,0b  0011  0101,
0.604703700000000,,0b  0111  0100,
0.604773400000000,,0b  0000  0010,
0.604788400000000,,0b  0011  0101,
0.604803400000000,,0b  0111  0100,
0.704600300000000,,0b  0000  0000,
0.704615300000000,,0b  1001  1101,
0.704630300000000,,0b  0000  0011,
0.704740600000000,,0b  0000  0001,
0.704755600000000,,0b  0011  0110,
0.704770700000000,,0b  0111  0100,
0.704839800000000,,0b  0000  0010,
0.704854900000000,,0b  0011  0101,
0.704869900000000,,0b  0111  0100,
0.804668000000000,,0b  0000  0000,
0.804683000000000,,0b  1001  1101,
0.804698000000000,,0b  0000  0011,
0.804808200000000,,0b  0000  0001,
0.804823300000000,,0b  0011  0101,
0.804838300000000,,0b  0111  0100,
