Time [s],Packet ID,MOSI,MISO
0.052252800000000,,0b  0000  0000,
0.052267800000000,,0b  1010  0010,
0.052282800000000,,0b  0000  0011,
0.052391900000000,,0b  1000  0001,
0.052407000000000,,0b  0011  0100,
0.052422000000000,,0b  0111  0100,
0.052491700000000,,0b  0000  0010,
0.052506700000000,,0b  0011  0110,
0.052521700000000,,0b  0111  0100,
0.152322600000000,,0b  0000  0000,
0.152337600000000,,0b  1010  0010,
0.152352600000000,,0b  0000  0011,
0.152464000000000,,0b  1000  0001,
0.152479000000000,,0b  0011  0100,
0.152494100000000,,0b  0111  0100,
0.152563400000000,,0b  0000  0010,
0.152578400000000,,0b  0011  0110,
0.152593400000000,,0b  0111  0100,
0.252391800000000,,0b  0000  0000,
0.252406700000000,,0b  1010  0010,
0.252421700000000,,0b  0000  0011,
0.252532400000000,,0b  1000  0001,
0.252547400000000,,0b  0011  0100,
0.252562500000000,,0b  0111  0100,
0.252631400000000,,0b  0000  0010,
0.252646400000000,,0b  0011  0110,
0.252661400000000,,0b  0111  0100,
0.352462200000000,,0b  0000  0000,
0.352477200000000,,0b  1010  0010,
0.352492200000000,,0b  0000  0011,
0.352602100000000,,0b  0000  0001,
0.352617200000000,,0b  0011  0101,
0.352632200000000,,0b  0111  0100,
0.352704400000000,,0b  1000  0010,
0.352719400000000,,0b  0011  0111,
0.352734500000000,,0b  0111  0100,
0.452535100000000,,0b  0000  0000,
0.452550000000000,,0b  1010  0010,
0.452565000000000,,0b  0000  0011,
0.452675600000000,,0b  0000  0001,
0.452690600000000,,0b  0011  0101,
0.452705600000000,,0b  0111  0100,
0.452774400000000,,0b  1000  0010,
0.452789500000000,,0b  0011  0111,
0.452804500000000,,0b  0111  0100,
0.552606500000000,,0b  0000  0000,
0.552621500000000,,0b  1010  0010,
0.552636500000000,,0b  0000  0011,
0.552746600000000,,0b  1000  0001,
0.552761700000000,,0b  0011  0111,
0.552776700000000,,0b  0111  0100,
0.552845500000000,,0b  1000  0010,
0.552860500000000,,0b  0011  0111,
0.552875500000000,,0b  0111  0100,
0.652675700000000,,0b  0000  0000,
0.652690700000000,,0b  1010  0010,
0.652705700000000,,0b  0000  0011,
0.652815400000000,,0b  1000  0001,
0.652830400000000,,0b  0011  0111,
0.652845400000000,,0b  0111  0100,
0.652915500000000,,0b  1000  0010,
0.652930500000000,,0b  0011  0111,
0.652945500000000,,0b  0111  0100,
0.752742900000000,,0b  0000  0000,
0.752757900000000,,0b  1010  0010,
0.752772900000000,,0b  0000  0011,
0.752881800000000,,0b  1000  0001,
0.752896800000000,,0b  0011  0111,
0.752911800000000,,0b  0111  0100,
0.752982200000000,,0b  1000  0010,
0.752997200000000,,0b  0011  1000,
0.753012200000000,,0b  0111  0100,
0.852814400000000,,0b  0000  0000,
0.852829300000000,,0b  1010  0010,
0.852844300000000,,0b  0000  0011,
0.852953500000000,,0b  1000  0001,
0.852968500000000,,0b  0011  0111,
0.852983600000000,,0b  0111  0100,
0.853052900000000,,0b  1000  0010,
0.853067900000000,,0b  0011  1000,
0.853082900000000,,0b  0111  0100,
0.952885500000000,,0b  0000  0000,
0.952900500000000,,0b  1010  0010,
0.952915500000000,,0b  0000  0011,
0.953026300000000,,0b  1000  0001,
0.953041300000000,,0b  0011  0111,
0.953056300000000,,0b  0111  0100,
0.953125600000000,,0b  1000  0010,
0.953140600000000,,0b  0011  1000,
0.953155600000000,,0b  0111  0100,
1.052957000000000,,0b  0000  0000,
1.052972000000000,,0b  1010  0010,
1.052987000000000,,0b  0000  0011,
1.053096000000000,,0b  1000  0001,
1.053111000000000,,0b  0011  1000,
1.053126100000000,,0b  0111  0100,
1.053196200000000,,0b  1000  0010,
1.053211300000000,,0b  0011  1000,
1.053226300000000,,0b  0111  0100,
1.153025200000000,,0b  0000  0000,
1.153040200000000,,0b  1010  0010,
1.153055200000000,,0b  0000  0011,
1.153165100000000,,0b  1000  0001,
1.153180100000000,,0b  0011  0111,
1.153195200000000,,0b  0111  0100,
1.153265900000000,,0b  1000  0010,
1.153281000000000,,0b  0011  1000,
1.153296000000000,,0b  0111  0100,
1.253093700000000,,0b  0000  0000,
1.253108700000000,,0b  1010  0010,
1.253123700000000,,0b  0000  0011,
1.253233500000000,,0b  1000  0001,
1.253248500000000,,0b  0011  0111,
1.253263600000000,,0b  0111  0100,
1.253335000000000,,0b  1000  0010,
1.253350000000000,,0b  0011  1000,
1.253365000000000,,0b  0111  0100,
1.353161800000000,,0b  0000  0000,
1.353176800000000,,0b  1010  0010,
1.353191800000000,,0b  0000  0011,
1.353301900000000,,0b  1000  0001,
1.353316900000000,,0b  0011  1000,
1.353332000000000,,0b  0111  0100,
1.353401700000000,,0b  0000  0010,
1.353416700000000,,0b  0011  1010,
1.353431700000000,,0b  0111  0100,
1.453233000000000,,0b  0000  0000,
1.453248000000000,,0b  1010  0010,
1.453263000000000,,0b  0000  0011,
1.453373000000000,,0b  1000  0001,
1.453388000000000,,0b  0011  1000,
1.453403100000000,,0b  0111  0100,
1.453472400000000,,0b  0000  0010,
1.453487400000000,,0b  0011  1010,
1.453502400000000,,0b  0111  0100,
1.553309500000000,,0b  0000  0000,
1.553324500000000,,0b  1010  0010,
1.553339500000000,,0b  0000  0011,
1.553450100000000,,0b  1000  0001,
1.553465100000000,,0b  0011  1000,
1.553480200000000,,0b  0111  0100,
1.553549400000000,,0b  0000  0010,
1.553564400000000,,0b  0011  1010,
1.553579500000000,,0b  0111  0100,
1.653377000000000,,0b  0000  0000,
1.653392000000000,,0b  1010  0010,
1.653407000000000,,0b  0000  0011,
1.653518200000000,,0b  1000  0001,
1.653533200000000,,0b  0011  0111,
1.653548200000000,,0b  0111  0100,
1.653617800000000,,0b  1000  0010,
1.653632800000000,,0b  0011  1000,
1.653647800000000,,0b  0111  0100,
1.753448900000000,,0b  0000  0000,
1.753463800000000,,0b  1010  0010,
1.753478800000000,,0b  0000  0011,
1.753588600000000,,0b  1000  0001,
1.753603600000000,,0b  0011  1000,
1.753618700000000,,0b  0111  0100,
1.753688100000000,,0b  1000  0010,
1.753703200000000,,0b  0011  1000,
1.753718200000000,,0b  0111  0100,
1.853519400000000,,0b  0000  0000,
1.853534300000000,,0b  1010  0010,
1.853549300000000,,0b  0000  0011,
1.853660300000000,,0b  1000  0001,
