Time [s],Packet ID,MOSI,MISO
0.028987500000000,,0b  0000  0000,
0.029002500000000,,0b  1001  1110,
0.029017500000000,,0b  0000  0011,
0.029127300000000,,0b  0000  0001,
0.029142400000000,,0b  0010  1000,
0.029157400000000,,0b  0111  0100,
0.029226300000000,,0b  0000  0010,
0.029241300000000,,0b  0011  0000,
0.029256300000000,,0b  0111  0100,
0.129060000000000,,0b  0000  0000,
0.129075000000000,,0b  1001  1110,
0.129090000000000,,0b  0000  0011,
0.129200000000000,,0b  0000  0001,
0.129215100000000,,0b  0010  0111,
0.129230100000000,,0b  0111  0100,
0.129299900000000,,0b  1000  0010,
0.129314900000000,,0b  0010  1111,
0.129329800000000,,0b  0111  0100,
0.229131900000000,,0b  0000  0000,
0.229146900000000,,0b  1001  1110,
0.229161900000000,,0b  0000  0011,
0.229270700000000,,0b  0000  0001,
0.229285700000000,,0b  0010  0111,
0.229300800000000,,0b  0111  0100,
0.229370000000000,,0b  1000  0010,
0.229385000000000,,0b  0010  1111,
0.229400000000000,,0b  0111  0100,
0.329196800000000,,0b  0000  0000,
0.329211700000000,,0b  1001  1110,
0.329226700000000,,0b  0000  0011,
0.329336000000000,,0b  1000  0001,
0.329351100000000,,0b  0010  0101,
0.329366100000000,,0b  0111  0100,
0.329435900000000,,0b  1000  0010,
0.329450900000000,,0b  0010  1111,
0.329465900000000,,0b  0111  0100,
0.429264300000000,,0b  0000  0000,
0.429279300000000,,0b  1001  1110,
0.429294300000000,,0b  0000  0011,
0.429403400000000,,0b  0000  0001,
0.429418400000000,,0b  0010  0100,
0.429433400000000,,0b  0111  0100,
0.429502700000000,,0b  0000  0010,
0.429517700000000,,0b  0010  1110,
0.429532700000000,,0b  0111  0100,
0.529332500000000,,0b  0000  0000,
0.529347500000000,,0b  1001  1110,
0.529362500000000,,0b  0000  0011,
0.529471700000000,,0b  0000  0001,
0.529486700000000,,0b  0010  0100,
0.529501800000000,,0b  0111  0100,
0.529571300000000,,0b  0000  0010,
0.529586200000000,,0b  0010  1110,
0.529601200000000,,0b  0111  0100,
