Time [s],Packet ID,MOSI,MISO
0.072249200000000,,0b  1000  0000,
0.072264200000000,,0b  1001  1001,
0.072279200000000,,0b  0000  0011,
0.072387900000000,,0b  1000  0001,
0.072403000000000,,0b  0010  1010,
0.072418000000000,,0b  0111  0100,
0.072486900000000,,0b  1000  0010,
0.072501900000000,,0b  0010  1001,
0.072516900000000,,0b  0111  0100,
0.172316700000000,,0b  1000  0000,
0.172331700000000,,0b  1001  1001,
0.172346700000000,,0b  0000  0011,
0.172457100000000,,0b  0000  0001,
0.172472200000000,,0b  0010  1011,
0.172487200000000,,0b  0111  0100,
0.172555100000000,,0b  1000  0010,
0.172570100000000,,0b  0010  1001,
0.172585100000000,,0b  0111  0100,
0.272383600000000,,0b  1000  0000,
0.272398600000000,,0b  1001  1001,
0.272413500000000,,0b  0000  0011,
0.272524000000000,,0b  1000  0001,
0.272539000000000,,0b  0010  1010,
0.272554000000000,,0b  0111  0100,
0.272632300000000,,0b  1000  0010,
0.272647300000000,,0b  0010  1001,
0.272662300000000,,0b  0111  0100,
0.372453100000000,,0b  1000  0000,
0.372468100000000,,0b  1001  1001,
0.372483000000000,,0b  0000  0011,
0.372591800000000,,0b  1000  0001,
0.372606800000000,,0b  0010  1001,
0.372621900000000,,0b  0111  0100,
0.372699600000000,,0b  0000  0010,
0.372714500000000,,0b  0010  1000,
0.372729500000000,,0b  0111  0100,
0.472519900000000,,0b  0000  0000,
0.472534900000000,,0b  1001  1011,
0.472549900000000,,0b  0000  0011,
0.472658600000000,,0b  1000  0001,
0.472673700000000,,0b  0010  1001,
0.472688700000000,,0b  0111  0100,
0.472758800000000,,0b  0000  0010,
0.472773800000000,,0b  0010  1000,
0.472788800000000,,0b  0111  0100,
0.572588100000000,,0b  1000  0000,
0.572603100000000,,0b  1001  1001,
0.572618000000000,,0b  0000  0011,
0.572728500000000,,0b  1000  0001,
0.572743500000000,,0b  0010  1001,
0.572758500000000,,0b  0111  0100,
0.572827700000000,,0b  0000  0010,
