Time [s],Packet ID,MOSI,MISO
0.036762000000000,,0b  1000  0000,
0.036777000000000,,0b  1001  0011,
0.036792000000000,,0b  0000  0011,
0.036902100000000,,0b  0000  0001,
0.036917200000000,,0b  0011  1100,
0.036932200000000,,0b  0111  0100,
0.037001700000000,,0b  0000  0010,
0.037016700000000,,0b  0011  1010,
0.037031700000000,,0b  0111  0100,
0.136824900000000,,0b  1000  0000,
0.136839900000000,,0b  1001  0011,
0.136854800000000,,0b  0000  0011,
0.136966400000000,,0b  0000  0001,
0.136981400000000,,0b  0011  1100,
0.136996500000000,,0b  0111  0100,
0.137064400000000,,0b  0000  0010,
0.137079400000000,,0b  0011  1010,
0.137094400000000,,0b  0111  0100,
0.236886100000000,,0b  1000  0000,
0.236901100000000,,0b  1001  0011,
0.236916000000000,,0b  0000  0011,
0.237026300000000,,0b  0000  0001,
0.237041400000000,,0b  0011  1100,
0.237056400000000,,0b  0111  0100,
0.237125400000000,,0b  0000  0010,
0.237140400000000,,0b  0011  1010,
0.237155400000000,,0b  0111  0100,
0.336948600000000,,0b  1000  0000,
0.336963600000000,,0b  1001  0011,
0.336978600000000,,0b  0000  0011,
0.337088300000000,,0b  0000  0001,
0.337103300000000,,0b  0011  1100,
0.337118300000000,,0b  0111  0100,
0.337187800000000,,0b  1000  0010,
0.337202800000000,,0b  0011  1110,
0.337217700000000,,0b  0111  0100,
0.437012800000000,,0b  1000  0000,
0.437027800000000,,0b  1001  0011,
0.437042800000000,,0b  0000  0011,
0.437152900000000,,0b  0000  0001,
0.437167900000000,,0b  0011  1100,
0.437182900000000,,0b  0111  0100,
0.437252500000000,,0b  0000  0010,
0.437267400000000,,0b  0011  1010,
0.437282400000000,,0b  0111  0100,
0.537077100000000,,0b  1000  0000,
0.537092000000000,,0b  1001  0011,
0.537107000000000,,0b  0000  0011,
0.537216200000000,,0b  0000  0001,
0.537231200000000,,0b  0011  1100,
0.537246200000000,,0b  0111  0100,
0.537315100000000,,0b  0000  0010,
0.537330100000000,,0b  0011  1010,
0.537345100000000,,0b  0111  0100,
0.637135600000000,,0b  1000  0000,
0.637150600000000,,0b  1001  0011,
0.637165600000000,,0b  0000  0011,
0.637274400000000,,0b  0000  0001,
0.637289400000000,,0b  0011  1100,
0.637304500000000,,0b  0111  0100,
0.637375500000000,,0b  0000  0010,
0.637390500000000,,0b  0011  1010,
0.637405500000000,,0b  0111  0100,
0.737196500000000,,0b  1000  0000,
0.737211500000000,,0b  1001  0011,
0.737226500000000,,0b  0000  0011,
0.737337000000000,,0b  0000  0001,
0.737352100000000,,0b  0011  1100,
0.737367100000000,,0b  0111  0100,
0.737437500000000,,0b  0000  0010,
0.737452500000000,,0b  0011  1010,
0.737467500000000,,0b  0111  0100,
0.837259400000000,,0b  1000  0000,
0.837274400000000,,0b  1001  0011,
0.837289400000000,,0b  0000  0011,
0.837400000000000,,0b  0000  0001,
0.837415000000000,,0b  0011  1100,
0.837430000000000,,0b  0111  0100,
0.837498600000000,,0b  0000  0010,
0.837513600000000,,0b  0011  1010,
0.837528500000000,,0b  0111  0100,
0.937319600000000,,0b  1000  0000,
0.937334600000000,,0b  1001  0011,
0.937349600000000,,0b  0000  0011,
0.937459900000000,,0b  0000  0001,
0.937475000000000,,0b  0011  1100,
0.937490000000000,,0b  0111  0100,
0.937559600000000,,0b  1000  0010,
0.937574600000000,,0b  0011  1110,
0.937589600000000,,0b  0111  0100,
1.037381900000000,,0b  1000  0000,
1.037396900000000,,0b  1001  0011,
