Time [s],Packet ID,MOSI,MISO
0.036766800000000,,0b  0000  0000,
0.036781800000000,,0b  1000  1010,
0.036796800000000,,0b  0000  0011,
0.036907700000000,,0b  0000  0001,
0.036922700000000,,0b  0100  1000,
0.036937700000000,,0b  0111  0100,
0.037006900000000,,0b  1000  0010,
0.037021900000000,,0b  0100  0000,
0.037037000000000,,0b  0111  0100,
0.136829800000000,,0b  0000  0000,
0.136844800000000,,0b  1000  1010,
0.136859800000000,,0b  0000  0011,
0.136970300000000,,0b  1000  0001,
0.136985400000000,,0b  0100  1001,
0.137000400000000,,0b  0111  0100,
0.137070900000000,,0b  1000  0010,
0.137086000000000,,0b  0100  0000,
0.137101000000000,,0b  0111  0100,
0.236890500000000,,0b  0000  0000,
0.236905500000000,,0b  1000  1010,
0.236920500000000,,0b  0000  0011,
0.237030000000000,,0b  1000  0001,
0.237045000000000,,0b  0100  1001,
0.237060100000000,,0b  0111  0100,
0.237130300000000,,0b  1000  0010,
0.237145300000000,,0b  0100  0000,
0.237160300000000,,0b  0111  0100,
0.336953200000000,,0b  0000  0000,
0.336968200000000,,0b  1000  1010,
0.336983100000000,,0b  0000  0011,
0.337093700000000,,0b  0000  0001,
0.337108700000000,,0b  0100  1000,
0.337123700000000,,0b  0111  0100,
0.337193700000000,,0b  1000  0010,
0.337208700000000,,0b  0100  0000,
0.337223700000000,,0b  0111  0100,
0.437017200000000,,0b  0000  0000,
0.437032200000000,,0b  1000  1010,
0.437047200000000,,0b  0000  0011,
0.437157000000000,,0b  1000  0001,
0.437172100000000,,0b  0100  1001,
0.437187100000000,,0b  0111  0100,
0.437258700000000,,0b  1000  0010,
0.437273700000000,,0b  0100  0000,
0.437288800000000,,0b  0111  0100,
0.537080500000000,,0b  0000  0000,
0.537095500000000,,0b  1000  1010,
0.537110500000000,,0b  0000  0011,
0.537220700000000,,0b  1000  0001,
0.537235700000000,,0b  0100  1001,
0.537250800000000,,0b  0111  0100,
0.537321100000000,,0b  1000  0010,
0.537336100000000,,0b  0100  0000,
0.537351100000000,,0b  0111  0100,
0.637139900000000,,0b  0000  0000,
0.637154800000000,,0b  1000  1010,
0.637169800000000,,0b  0000  0011,
0.637279400000000,,0b  1000  0001,
0.637294400000000,,0b  0100  1001,
0.637309400000000,,0b  0111  0100,
0.637381100000000,,0b  1000  0010,
0.637396100000000,,0b  0100  0000,
0.637411200000000,,0b  0111  0100,
0.737201500000000,,0b  0000  0000,
0.737216500000000,,0b  1000  1010,
0.737231500000000,,0b  0000  0011,
0.737341100000000,,0b  0000  0001,
0.737356100000000,,0b  0100  1000,
0.737371100000000,,0b  0111  0100,
0.737443200000000,,0b  1000  0010,
0.737458200000000,,0b  0100  0000,
0.737473200000000,,0b  0111  0100,
0.837264200000000,,0b  0000  0000,
0.837279200000000,,0b  1000  1010,
0.837294200000000,,0b  0000  0011,
0.837403800000000,,0b  1000  0001,
0.837418800000000,,0b  0100  1001,
0.837433800000000,,0b  0111  0100,
0.837504200000000,,0b  1000  0010,
0.837519200000000,,0b  0100  0000,
0.837534300000000,,0b  0111  0100,
0.937325900000000,,0b  0000  0000,
0.937340900000000,,0b  1000  1010,
0.937355900000000,,0b  0000  0011,
0.937464400000000,,0b  1000  0001,
0.937479500000000,,0b  0100  1001,
0.937494500000000,,0b  0111  0100,
0.937564600000000,,0b  1000  0010,
0.937579600000000,,0b  0100  0000,
0.937594600000000,,0b  0111  0100,
1.037385000000000,,0b  0000  0000,
1.037399900000000,,0b  1000  1010,
1.037414900000000,,0b  0000  0011,
1.037525500000000,,0b  1000  0001,
1.037540500000000,,0b  0100  1001,
1.037555500000000,,0b  0111  0100,
1.037625300000000,,0b  1000  0010,
1.037640300000000,,0b  0100  0000,
1.037655300000000,,0b  0111  0100,
1.137445600000000,,0b  0000  0000,
1.137460600000000,,0b  1000  1010,
1.137475600000000,,0b  0000  0011,
1.137585500000000,,0b  0000  0001,
1.137600500000000,,0b  0100  1000,
1.137615600000000,,0b  0111  0100,
1.137685300000000,,0b  1000  0010,
1.137700400000000,,0b  0100  0000,
1.137715400000000,,0b  0111  0100,
1.237508700000000,,0b  0000  0000,
1.237523700000000,,0b  1000  1010,
1.237538700000000,,0b  0000  0011,
1.237649500000000,,0b  0000  0001,
1.237664600000000,,0b  0100  1000,
1.237679600000000,,0b  0111  0100,
1.237748100000000,,0b  0000  0010,
1.237763100000000,,0b  0100  0001,
1.237778100000000,,0b  0111  0100,
1.337576700000000,,0b  0000  0000,
1.337591700000000,,0b  1000  1010,
1.337606700000000,,0b  0000  0011,
1.337717600000000,,0b  1000  0001,
1.337732600000000,,0b  0100  1001,
1.337747700000000,,0b  0111  0100,
1.337817800000000,,0b  0000  0010,
1.337832800000000,,0b  0100  0001,
1.337847900000000,,0b  0111  0100,
1.437637400000000,,0b  0000  0000,
1.437652400000000,,0b  1000  1010,
1.437667400000000,,0b  0000  0011,
1.437777000000000,,0b  0000  0001,
1.437792000000000,,0b  0100  1000,
1.437807000000000,,0b  0111  0100,
1.437878900000000,,0b  0000  0010,
1.437893900000000,,0b  0100  0001,
1.437908900000000,,0b  0111  0100,
1.537701100000000,,0b  0000  0000,
1.537716100000000,,0b  1000  1010,
1.537731100000000,,0b  0000  0011,
1.537840700000000,,0b  0000  0001,
1.537855700000000,,0b  0100  1000,
1.537870700000000,,0b  0111  0100,
1.537940900000000,,0b  0000  0010,
1.537956000000000,,0b  0100  0001,
1.537971000000000,,0b  0111  0100,
1.637764500000000,,0b  0000  0000,
1.637779500000000,,0b  1000  1010,
1.637794500000000,,0b  0000  0011,
1.637904400000000,,0b  1000  0001,
1.637919400000000,,0b  0100  1001,
1.637934400000000,,0b  0111  0100,
1.638003400000000,,0b  0000  0010,
1.638018400000000,,0b  0100  0001,
1.638033400000000,,0b  0111  0100,
1.737824200000000,,0b  0000  0000,
1.737839200000000,,0b  1000  1010,
1.737854200000000,,0b  0000  0011,
1.737964100000000,,0b  1000  0001,
1.737979100000000,,0b  0100  1001,
1.737994200000000,,0b  0111  0100,
1.738063800000000,,0b  0000  0010,
1.738078800000000,,0b  0100  0001,
1.738093800000000,,0b  0111  0100,
1.837888300000000,,0b  0000  0000,
1.837903300000000,,0b  1000  1010,
1.837918200000000,,0b  0000  0011,
1.838028200000000,,0b  0000  0001,
1.838043200000000,,0b  0100  1000,
1.838058200000000,,0b  0111  0100,
1.838128800000000,,0b  1000  0010,
1.838143900000000,,0b  0100  0000,
1.838158900000000,,0b  0111  0100,
1.937951700000000,,0b  0000  0000,
1.937966600000000,,0b  1000  1010,
1.937981600000000,,0b  0000  0011,
1.938091200000000,,0b  1000  0001,
1.938106200000000,,0b  0100  1001,
1.938121300000000,,0b  0111  0100,
1.938190600000000,,0b  1000  0010,
1.938205600000000,,0b  0100  0000,
1.938220600000000,,0b  0111  0100,
2.038010100000000,,0b  0000  0000,
2.038025000000000,,0b  1000  1010,
2.038040000000000,,0b  0000  0011,
2.038148600000000,,0b  0000  0001,
2.038163600000000,,0b  0100  1000,
2.038178700000000,,0b  0111  0100,
2.038249600000000,,0b  1000  0010,
2.038264700000000,,0b  0100  0000,
2.038279700000000,,0b  0111  0100,
2.138072500000000,,0b  0000  0000,
2.138087400000000,,0b  1000  1010,
2.138102400000000,,0b  0000  0011,
2.138212700000000,,0b  1000  0001,
2.138227700000000,,0b  0100  1001,
2.138242700000000,,0b  0111  0100,
2.138311400000000,,0b  1000  0010,
2.138326400000000,,0b  0100  0000,
2.138341500000000,,0b  0111  0100,
2.238133200000000,,0b  0000  0000,
2.238148200000000,,0b  1000  1010,
2.238163200000000,,0b  0000  0011,
2.238273400000000,,0b  1000  0001,
2.238288400000000,,0b  0100  1001,
2.238303500000000,,0b  0111  0100,
2.238372200000000,,0b  1000  0010,
2.238387200000000,,0b  0100  0000,
2.238402200000000,,0b  0111  0100,
2.338194600000000,,0b  0000  0000,
2.338209600000000,,0b  1000  1010,
2.338224600000000,,0b  0000  0011,
2.338333100000000,,0b  1000  0001,
2.338348200000000,,0b  0100  1001,
2.338363200000000,,0b  0111  0100,
2.338434900000000,,0b  1000  0010,
2.338449900000000,,0b  0100  0000,
2.338465000000000,,0b  0111  0100,
2.438259700000000,,0b  0000  0000,
2.438274600000000,,0b  1000  1010,
2.438289600000000,,0b  0000  0011,
2.438401200000000,,0b  1000  0001,
2.438416200000000,,0b  0100  1001,
2.438431300000000,,0b  0111  0100,
2.438500300000000,,0b  1000  0010,
2.438515400000000,,0b  0100  0000,
2.438530400000000,,0b  0111  0100,
2.538323400000000,,0b  0000  0000,
2.538338400000000,,0b  1000  1010,
2.538353400000000,,0b  0000  0011,
2.538463300000000,,0b  1000  0001,
2.538478300000000,,0b  0100  1001,
2.538493300000000,,0b  0111  0100,
2.538564100000000,,0b  1000  0010,
2.538579100000000,,0b  0100  0000,
2.538594200000000,,0b  0111  0100,
2.638386800000000,,0b  0000  0000,
2.638401800000000,,0b  1000  1010,
2.638416800000000,,0b  0000  0011,
2.638527000000000,,0b  1000  0001,
2.638542100000000,,0b  0100  1001,
2.638557100000000,,0b  0111  0100,
2.638626500000000,,0b  1000  0010,
2.638641600000000,,0b  0100  0000,
2.638656600000000,,0b  0111  0100,
2.738444200000000,,0b  0000  0000,
2.738459200000000,,0b  1000  1010,
2.738474200000000,,0b  0000  0011,
2.738583400000000,,0b  1000  0001,
2.738598500000000,,0b  0100  1001,
2.738613500000000,,0b  0111  0100,
2.738683300000000,,0b  1000  0010,
2.738698300000000,,0b  0100  0000,
2.738713400000000,,0b  0111  0100,
2.838507300000000,,0b  0000  0000,
2.838522300000000,,0b  1000  1010,
2.838537300000000,,0b  0000  0011,
2.838646500000000,,0b  0000  0001,
2.838661500000000,,0b  0100  1000,
2.838676600000000,,0b  0111  0100,
2.838746700000000,,0b  1000  0010,
2.838761800000000,,0b  0100  0000,
2.838776800000000,,0b  0111  0100,
2.938568100000000,,0b  0000  0000,
2.938583100000000,,0b  1000  1010,
2.938598100000000,,0b  0000  0011,
2.938708300000000,,0b  0000  0001,
2.938723300000000,,0b  0100  0111,
2.938738300000000,,0b  0111  0100,
2.938807500000000,,0b  1000  0010,
2.938822500000000,,0b  0011  1110,
2.938837600000000,,0b  0111  0100,
3.038627900000000,,0b  0000  0000,
3.038642800000000,,0b  1000  1010,
3.038657800000000,,0b  0000  0011,
3.038768000000000,,0b  0000  0001,
3.038783000000000,,0b  0100  1000,
3.038798100000000,,0b  0111  0100,
3.038867600000000,,0b  1000  0010,
3.038882700000000,,0b  0011  1110,
3.038897700000000,,0b  0111  0100,
3.138687600000000,,0b  0000  0000,
3.138702600000000,,0b  1000  1010,
3.138717600000000,,0b  0000  0011,
3.138829100000000,,0b  0000  0001,
3.138844100000000,,0b  0100  1000,
3.138859200000000,,0b  0111  0100,
3.138928100000000,,0b  1000  0010,
3.138943100000000,,0b  0011  1110,
3.138958100000000,,0b  0111  0100,
3.238748100000000,,0b  0000  0000,
3.238763000000000,,0b  1000  1010,
3.238778000000000,,0b  0000  0011,
3.238887200000000,,0b  0000  0001,
3.238902200000000,,0b  0100  1000,
3.238917300000000,,0b  0111  0100,
3.238988500000000,,0b  1000  0010,
3.239003500000000,,0b  0011  1110,
3.239018600000000,,0b  0111  0100,
3.338809200000000,,0b  0000  0000,
3.338824100000000,,0b  1000  1010,
3.338839100000000,,0b  0000  0011,
3.338948600000000,,0b  0000  0001,
3.338963700000000,,0b  0100  1000,
3.338978700000000,,0b  0111  0100,
3.339049600000000,,0b  1000  0010,
3.339064700000000,,0b  0011  1110,
3.339079700000000,,0b  0111  0100,
3.438870600000000,,0b  0000  0000,
3.438885600000000,,0b  1000  1010,
3.438900600000000,,0b  0000  0011,
3.439009400000000,,0b  0000  0001,
3.439024400000000,,0b  0100  1000,
3.439039500000000,,0b  0111  0100,
3.439110100000000,,0b  1000  0010,
3.439125100000000,,0b  0011  1110,
3.439140100000000,,0b  0111  0100,
3.538929000000000,,0b  0000  0000,
3.538944000000000,,0b  1000  1010,
3.538959000000000,,0b  0000  0011,
3.539067800000000,,0b  0000  0001,
3.539082900000000,,0b  0100  1000,
3.539097900000000,,0b  0111  0100,
3.539167900000000,,0b  1000  0010,
3.539182900000000,,0b  0011  1110,
3.539197900000000,,0b  0111  0100,
3.638988800000000,,0b  0000  0000,
3.639003800000000,,0b  1000  1010,
3.639018800000000,,0b  0000  0011,
3.639128900000000,,0b  0000  0001,
3.639144000000000,,0b  0100  1000,
3.639159000000000,,0b  0111  0100,
3.639230300000000,,0b  1000  0010,
3.639245400000000,,0b  0100  0000,
3.639260400000000,,0b  0111  0100,
3.739050300000000,,0b  0000  0000,
3.739065300000000,,0b  1000  1010,
3.739080300000000,,0b  0000  0011,
3.739189400000000,,0b  0000  0001,
3.739204400000000,,0b  0100  1000,
3.739219400000000,,0b  0111  0100,
3.739290500000000,,0b  1000  0010,
3.739305500000000,,0b  0011  1110,
3.739320500000000,,0b  0111  0100,
3.839110700000000,,0b  0000  0000,
3.839125700000000,,0b  1000  1010,
3.839140700000000,,0b  0000  0011,
3.839249800000000,,0b  0000  0001,
3.839264800000000,,0b  0100  1000,
3.839279900000000,,0b  0111  0100,
3.839350600000000,,0b  1000  0010,
3.839365600000000,,0b  0011  1110,
3.839380700000000,,0b  0111  0100,
3.939168900000000,,0b  0000  0000,
3.939183800000000,,0b  1000  1010,
3.939198800000000,,0b  0000  0011,
3.939308600000000,,0b  0000  0001,
3.939323600000000,,0b  0100  0111,
3.939338700000000,,0b  0111  0100,
3.939408700000000,,0b  1000  0010,
3.939423800000000,,0b  0011  1110,
3.939438800000000,,0b  0111  0100,
4.039230700000000,,0b  0000  0000,
4.039245600000000,,0b  1000  1010,
4.039260600000000,,0b  0000  0011,
4.039371000000000,,0b  0000  0001,
4.039386100000000,,0b  0100  0111,
4.039401100000000,,0b  0111  0100,
4.039471500000000,,0b  1000  0010,
4.039486600000000,,0b  0011  1110,
4.039501600000000,,0b  0111  0100,
4.139294100000000,,0b  0000  0000,
4.139309100000000,,0b  1000  1010,
4.139324100000000,,0b  0000  0011,
4.139433500000000,,0b  0000  0001,
4.139448500000000,,0b  0100  0111,
4.139463600000000,,0b  0111  0100,
4.139536000000000,,0b  1000  0010,
4.139551000000000,,0b  0011  1110,
4.139566100000000,,0b  0111  0100,
4.239353300000000,,0b  0000  0000,
4.239368200000000,,0b  1000  1010,
4.239383200000000,,0b  0000  0011,
4.239493000000000,,0b  0000  0001,
4.239508000000000,,0b  0100  0111,
4.239523000000000,,0b  0111  0100,
4.239593200000000,,0b  1000  0010,
4.239608200000000,,0b  0011  1110,
4.239623200000000,,0b  0111  0100,
4.339413400000000,,0b  0000  0000,
4.339428400000000,,0b  1000  1010,
4.339443400000000,,0b  0000  0011,
4.339552700000000,,0b  0000  0001,
4.339567800000000,,0b  0100  1000,
4.339582800000000,,0b  0111  0100,
4.339654000000000,,0b  1000  0010,
4.339669000000000,,0b  0011  1110,
4.339684000000000,,0b  0111  0100,
4.439473500000000,,0b  0000  0000,
4.439488500000000,,0b  1000  1010,
4.439503500000000,,0b  0000  0011,
4.439613200000000,,0b  0000  0001,
