Time [s],Packet ID,MOSI,MISO
0.007379900000000,,0b  0000  0000,
0.007394900000000,,0b  1010  0010,
0.007409900000000,,0b  0000  0011,
0.007519600000000,,0b  0000  0001,
0.007534700000000,,0b  0101  0110,
0.007549700000000,,0b  0111  0100,
0.007619800000000,,0b  0000  0010,
0.007634800000000,,0b  0101  1010,
0.007649900000000,,0b  0111  0100,
0.107446600000000,,0b  0000  0000,
0.107461600000000,,0b  1010  0010,
0.107476600000000,,0b  0000  0011,
0.107586400000000,,0b  0000  0001,
0.107601500000000,,0b  0101  0110,
0.107616500000000,,0b  0111  0100,
0.107686100000000,,0b  0000  0010,
0.107701100000000,,0b  0101  1010,
0.107716100000000,,0b  0111  0100,
0.207514700000000,,0b  0000  0000,
0.207529700000000,,0b  1010  0010,
0.207544700000000,,0b  0000  0011,
0.207654600000000,,0b  0000  0001,
0.207669600000000,,0b  0101  0101,
0.207684600000000,,0b  0111  0100,
0.207755000000000,,0b  1000  0010,
0.207770000000000,,0b  0101  1000,
0.207785100000000,,0b  0111  0100,
0.307582700000000,,0b  0000  0000,
0.307597700000000,,0b  1010  0001,
0.307612700000000,,0b  0000  0011,
0.307722700000000,,0b  0000  0001,
0.307737700000000,,0b  0101  0101,
0.307752800000000,,0b  0111  0100,
0.307822300000000,,0b  1000  0010,
0.307837300000000,,0b  0101  1000,
0.307852400000000,,0b  0111  0100,
0.407649500000000,,0b  0000  0000,
0.407664400000000,,0b  1010  0001,
0.407679400000000,,0b  0000  0011,
0.407789500000000,,0b  1000  0001,
0.407804500000000,,0b  0101  0100,
0.407819500000000,,0b  0111  0100,
0.407889900000000,,0b  1000  0010,
0.407904900000000,,0b  0101  1000,
0.407920000000000,,0b  0111  0100,
0.507720500000000,,0b  0000  0000,
0.507735500000000,,0b  1010  0001,
0.507750500000000,,0b  0000  0011,
0.507861300000000,,0b  1000  0001,
0.507876300000000,,0b  0101  0100,
0.507891300000000,,0b  0111  0100,
0.507961900000000,,0b  1000  0010,
0.507976900000000,,0b  0101  1000,
0.507991900000000,,0b  0111  0100,
0.607789900000000,,0b  0000  0000,
0.607804900000000,,0b  1010  0001,
0.607819900000000,,0b  0000  0011,
0.607930000000000,,0b  1000  0001,
0.607945100000000,,0b  0101  0100,
0.607960100000000,,0b  0111  0100,
0.608030200000000,,0b  1000  0010,
0.608045200000000,,0b  0101  0111,
0.608060200000000,,0b  0111  0100,
0.707857600000000,,0b  0000  0000,
0.707872600000000,,0b  1010  0010,
0.707887600000000,,0b  0000  0011,
0.707998500000000,,0b  1000  0001,
0.708013500000000,,0b  0101  0100,
0.708028600000000,,0b  0111  0100,
0.708097100000000,,0b  1000  0010,
0.708112100000000,,0b  0101  0111,
0.708127200000000,,0b  0111  0100,
0.807926700000000,,0b  0000  0000,
0.807941700000000,,0b  1010  0010,
0.807956700000000,,0b  0000  0011,
0.808065900000000,,0b  1000  0001,
0.808081000000000,,0b  0101  0100,
0.808096000000000,,0b  0111  0100,
0.808166400000000,,0b  1000  0010,
0.808181400000000,,0b  0101  0111,
0.808196400000000,,0b  0111  0100,
0.907994100000000,,0b  0000  0000,
0.908009000000000,,0b  1010  0010,
0.908024000000000,,0b  0000  0011,
0.908133700000000,,0b  1000  0001,
0.908148800000000,,0b  0101  0100,
0.908163800000000,,0b  0111  0100,
0.908234300000000,,0b  0000  0010,
0.908249400000000,,0b  0101  1001,
0.908264400000000,,0b  0111  0100,
1.008062500000000,,0b  0000  0000,
1.008077400000000,,0b  1010  0001,
1.008092400000000,,0b  0000  0011,
1.008201500000000,,0b  0000  0001,
1.008216500000000,,0b  0101  0101,
1.008231600000000,,0b  0111  0100,
1.008302900000000,,0b  0000  0010,
1.008318000000000,,0b  0101  1001,
1.008333000000000,,0b  0111  0100,
1.108128800000000,,0b  0000  0000,
1.108143800000000,,0b  1010  0001,
1.108158800000000,,0b  0000  0011,
1.108269600000000,,0b  0000  0001,
1.108284700000000,,0b  0101  0101,
1.108299700000000,,0b  0111  0100,
1.108369600000000,,0b  0000  0010,
1.108384600000000,,0b  0101  1010,
1.108399600000000,,0b  0111  0100,
1.208197600000000,,0b  0000  0000,
1.208212500000000,,0b  1010  0010,
1.208227500000000,,0b  0000  0011,
1.208337100000000,,0b  0000  0001,
1.208352100000000,,0b  0101  0110,
1.208367100000000,,0b  0111  0100,
1.208437500000000,,0b  0000  0010,
1.208452500000000,,0b  0101  1010,
1.208467600000000,,0b  0111  0100,
1.308265600000000,,0b  0000  0000,
1.308280600000000,,0b  1010  0001,
1.308295600000000,,0b  0000  0011,
1.308405800000000,,0b  0000  0001,
1.308420900000000,,0b  0101  0110,
1.308435900000000,,0b  0111  0100,
1.308505800000000,,0b  0000  0010,
1.308520800000000,,0b  0101  1010,
1.308535800000000,,0b  0111  0100,
1.408333300000000,,0b  0000  0000,
1.408348300000000,,0b  1010  0001,
1.408363300000000,,0b  0000  0011,
1.408473900000000,,0b  0000  0001,
1.408489000000000,,0b  0101  0110,
1.408504000000000,,0b  0111  0100,
1.408573700000000,,0b  0000  0010,
1.408588700000000,,0b  0101  1100,
1.408603800000000,,0b  0111  0100,
1.508402000000000,,0b  0000  0000,
1.508417000000000,,0b  1010  0010,
1.508432000000000,,0b  0000  0011,
1.508540700000000,,0b  1000  0001,
1.508555700000000,,0b  0101  1000,
1.508570800000000,,0b  0111  0100,
1.508640600000000,,0b  0000  0010,
1.508655700000000,,0b  0101  1100,
1.508670700000000,,0b  0111  0100,
1.608470700000000,,0b  0000  0000,
1.608485700000000,,0b  1010  0001,
1.608500700000000,,0b  0000  0011,
1.608609500000000,,0b  1000  0001,
1.608624500000000,,0b  0101  1000,
1.608639600000000,,0b  0111  0100,
1.608710200000000,,0b  0000  0010,
1.608725300000000,,0b  0101  1100,
1.608740300000000,,0b  0111  0100,
1.708538800000000,,0b  0000  0000,
1.708553800000000,,0b  1010  0010,
1.708568800000000,,0b  0000  0011,
1.708678600000000,,0b  1000  0001,
1.708693600000000,,0b  0101  1000,
1.708708700000000,,0b  0111  0100,
1.708778200000000,,0b  0000  0010,
1.708793200000000,,0b  0101  1100,
1.708808200000000,,0b  0111  0100,
1.808609800000000,,0b  0000  0000,
1.808624800000000,,0b  1010  0001,
1.808639800000000,,0b  0000  0011,
1.808750100000000,,0b  1000  0001,
1.808765100000000,,0b  0101  1000,
1.808780100000000,,0b  0111  0100,
1.808850100000000,,0b  0000  0010,
1.808865100000000,,0b  0101  1100,
1.808880200000000,,0b  0111  0100,
1.908676200000000,,0b  0000  0000,
1.908691200000000,,0b  1010  0010,
1.908706200000000,,0b  0000  0011,
1.908815200000000,,0b  1000  0001,
1.908830200000000,,0b  0101  1000,
1.908845200000000,,0b  0111  0100,
1.908915000000000,,0b  0000  0010,
1.908930100000000,,0b  0101  1100,
1.908945100000000,,0b  0111  0100,
2.008743300000000,,0b  0000  0000,
2.008758200000000,,0b  1010  0010,
2.008773200000000,,0b  0000  0011,
2.008882900000000,,0b  0000  0001,
2.008898000000000,,0b  0101  1001,
2.008913000000000,,0b  0111  0100,
2.008982300000000,,0b  1000  0010,
2.008997300000000,,0b  0101  1101,
2.009012400000000,,0b  0111  0100,
2.108810000000000,,0b  0000  0000,
2.108825000000000,,0b  1010  0001,
2.108839900000000,,0b  0000  0011,
2.108949700000000,,0b  0000  0001,
2.108964700000000,,0b  0101  1001,
2.108979800000000,,0b  0111  0100,
2.109050600000000,,0b  1000  0010,
2.109065600000000,,0b  0101  1101,
2.109080600000000,,0b  0111  0100,
2.208879300000000,,0b  0000  0000,
2.208894300000000,,0b  1010  0001,
2.208909300000000,,0b  0000  0011,
2.209019800000000,,0b  0000  0001,
2.209034800000000,,0b  0101  1001,
2.209049900000000,,0b  0111  0100,
2.209119100000000,,0b  1000  0010,
2.209134200000000,,0b  0101  1101,
2.209149200000000,,0b  0111  0100,
2.308954700000000,,0b  0000  0000,
2.308969700000000,,0b  1010  0010,
2.308984700000000,,0b  0000  0011,
2.309093900000000,,0b  0000  0001,
2.309109000000000,,0b  0101  1001,
2.309124000000000,,0b  0111  0100,
2.309194100000000,,0b  1000  0010,
2.309209100000000,,0b  0101  1110,
2.309224100000000,,0b  0111  0100,
2.409024400000000,,0b  0000  0000,
2.409039400000000,,0b  1010  0001,
2.409054400000000,,0b  0000  0011,
2.409164400000000,,0b  0000  0001,
2.409179400000000,,0b  0101  1010,
2.409194400000000,,0b  0111  0100,
2.409265000000000,,0b  1000  0010,
2.409280000000000,,0b  0101  1110,
2.409295100000000,,0b  0111  0100,
2.509095400000000,,0b  0000  0000,
2.509110400000000,,0b  1010  0001,
2.509125400000000,,0b  0000  0011,
2.509235800000000,,0b  0000  0001,
2.509250800000000,,0b  0101  1010,
2.509265900000000,,0b  0111  0100,
2.509335300000000,,0b  1000  0010,
2.509350300000000,,0b  0101  1110,
2.509365300000000,,0b  0111  0100,
2.609160500000000,,0b  0000  0000,
2.609175500000000,,0b  1010  0001,
2.609190500000000,,0b  0000  0011,
2.609300900000000,,0b  0000  0001,
2.609315900000000,,0b  0101  1010,
2.609331000000000,,0b  0111  0100,
2.609400200000000,,0b  1000  0010,
2.609415200000000,,0b  0101  1110,
2.609430200000000,,0b  0111  0100,
2.709231800000000,,0b  0000  0000,
2.709246800000000,,0b  1010  0001,
2.709261800000000,,0b  0000  0011,
2.709371700000000,,0b  0000  0001,
2.709386700000000,,0b  0101  1100,
2.709401700000000,,0b  0111  0100,
2.709471400000000,,0b  0000  0010,
2.709486500000000,,0b  0110  0000,
2.709501500000000,,0b  0111  0100,
2.809300200000000,,0b  0000  0000,
